id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
14264302,JK336313,2026-07-16T22:49:00.000,055XX W GRAND AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,VEHICLE NON-COMMERCIAL,True,False,2515,025,37,19,26,1138944,1913442,2026,2026-07-25T16:47:30.000,41.918604539,-87.764938388,"{'latitude': '41.918604539', 'longitude': '-87.764938388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22615,19,307,45,2,6,133,37
14268406,JK340754,2026-07-16T22:45:00.000,035XX S WENTWORTH AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CTA TRAIN,False,False,0915,009,11,34,11,1175522,1881741,2026,2026-07-25T16:47:30.000,41.830871136,-87.631500365,"{'latitude': '41.830871136', 'longitude': '-87.631500365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,14924,35,296,9,37,23,170,8
14264307,JK336309,2026-07-16T22:40:00.000,109XX S DOTY AVE W,0820,THEFT,$500 AND UNDER,CONVENIENCE STORE,True,False,0513,005,9,50,06,1185441,1832670,2026,2026-07-25T16:47:30.000,41.69598756,-87.596649418,"{'latitude': '41.69598756', 'longitude': '-87.596649418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,47,254,43,19,10,260,11
29249,JK336285,2026-07-16T22:37:00.000,051XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,0231,002,3,40,01A,1179363,1871074,2026,2026-07-25T16:47:30.000,41.801513039,-87.617733588,"{'latitude': '41.801513039', 'longitude': '-87.617733588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21192,7,218,9,10,24,125,8
14264373,JK336312,2026-07-16T22:30:00.000,012XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,False,True,1233,012,28,28,14,1168568,1894446,2026,2026-07-25T16:47:30.000,41.865887858,-87.656647559,"{'latitude': '41.865887858', 'longitude': '-87.656647559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,760,26,43,15,95,28
14264754,JK336857,2026-07-16T22:30:00.000,070XX S STEWART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,0732,007,6,68,14,1174840,1858350,2026,2026-07-25T16:47:30.000,41.766699151,-87.634700167,"{'latitude': '41.766699151', 'longitude': '-87.634700167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,214,4
14264516,JK336572,2026-07-16T22:30:00.000,041XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2534,025,37,23,14,1148474,1908337,2026,2026-07-25T16:47:30.000,41.904417253,-87.730055882,"{'latitude': '41.904417253', 'longitude': '-87.730055882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,286,45,5,6,194,37
14267886,JK340605,2026-07-16T22:30:00.000,022XX W CORNELIA AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1921,019,32,5,06,1160644,1923200,2026,2026-07-25T16:47:30.000,41.944958785,-87.684939181,"{'latitude': '41.944958785', 'longitude': '-87.684939181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,21538,46,646,40,39,5,21,32
14264352,JK336315,2026-07-16T22:30:00.000,007XX N CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1524,015,37,25,14,1138896,1904260,2026,2026-07-25T16:47:30.000,41.893408918,-87.765338129,"{'latitude': '41.893408918', 'longitude': '-87.765338129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,22216,26,673,45,32,25,67,37
14264340,JK336332,2026-07-16T22:21:00.000,040XX S ALBANY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,0921,009,12,58,15,1156341,1877790,2026,2026-07-25T16:47:30.000,41.820437557,-87.701983247,"{'latitude': '41.820437557', 'longitude': '-87.701983247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,55,196,1,56,23,110,12
14265206,JK336710,2026-07-16T22:20:00.000,026XX W FITCH AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2411,024,50,2,06,1157472,1947334,2026,2026-07-25T16:47:30.000,42.01124891,-87.695938139,"{'latitude': '42.01124891', 'longitude': '-87.695938139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,42,27,12,11,35,50
14264348,JK336322,2026-07-16T22:15:00.000,013XX N KEELER AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,2534,025,37,23,04B,1148138,1908473,2026,2026-07-25T16:47:30.000,41.904796929,-87.731286608,"{'latitude': '41.904796929', 'longitude': '-87.731286608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,286,45,5,6,194,37
14264326,JK336311,2026-07-16T22:09:00.000,049XX N WHIPPLE ST,141C,WEAPONS VIOLATION,UNLAWFUL USE - OTHER DANGEROUS WEAPON,PARK PROPERTY,True,False,1713,017,33,14,15,1155152,1932560,2026,2026-07-25T16:47:30.000,41.970755442,-87.704873332,"{'latitude': '41.970755442', 'longitude': '-87.704873332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,21849,14,749,20,20,1,1,33
14264374,JK336308,2026-07-16T22:00:00.000,023XX W TAYLOR ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,BAR OR TAVERN,False,False,1225,012,28,28,04B,1160734,1895515,2026,2026-07-25T16:47:30.000,41.868987147,-87.685377049,"{'latitude': '41.868987147', 'longitude': '-87.685377049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,21184,29,757,23,28,15,139,28
14265240,JK336904,2026-07-16T22:00:00.000,078XX S Keeler Ave,0810,THEFT,OVER $500,RESIDENCE,False,False,0834,008,18,70,06,1149877,1852446,2026,2026-07-25T16:47:30.000,41.751017542,-87.726352754,"{'latitude': '41.751017542', 'longitude': '-87.726352754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,4300,69,571,30,8,13,232,18
14264504,JK336539,2026-07-16T22:00:00.000,019XX E 73RD ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,0333,003,5,43,06,1190411,1856950,2026,2026-07-25T16:47:30.000,41.762496201,-87.577672266,"{'latitude': '41.762496201', 'longitude': '-87.577672266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,419,37,24,18,89,5
14264777,JK336889,2026-07-16T22:00:00.000,022XX W 23RD PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1034,010,25,31,07,1161734,1888371,2026,2026-07-25T16:47:30.000,41.849362539,-87.681904799,"{'latitude': '41.849362539', 'longitude': '-87.681904799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,204,26,43,21,159,25
14264795,JK336894,2026-07-16T22:00:00.000,055XX S ST LOUIS AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,RESIDENCE,False,False,0822,008,14,63,06,1153987,1867668,2026,2026-07-25T16:47:30.000,41.792708525,-87.710887792,"{'latitude': '41.792708525', 'longitude': '-87.710887792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,21867,61,801,8,58,13,129,14
14265816,JK338120,2026-07-16T22:00:00.000,091XX S HOUSTON AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,0424,004,10,46,07,1198111,1844955,2026,2026-07-25T16:47:30.000,41.729391962,-87.549851531,"{'latitude': '41.729391962', 'longitude': '-87.549851531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,42,510,47,25,19,239,6
